24.0,33.4
26.0,43.7
23.0,20.8
24.7,25.6
24.4,15.7
23.8,5.6
22.4,2.9
23.5,2.8
23.3,4.3
23.7,5.4
23.4,5.3
23.2,11.8
23.9,6.5
23.1,6.9
24.9,9.5
24.1,11.9
24.0,13.0
23.7,9.3
22.4,12.0
23.2,20.9
23.7,18.9
24.0,39.5
24.1,44.6
23.0,82.5
22.9,62.6
22.9,90.2
22.3,112.8
21.4,95.2
24.1,28.2
19.5,31.7
21.6,66.2
16.6,85.1
20.4,112.8
21.6,140.6
22.0,103.9
21.6,75.2
22.3,119.0
23.8,89.8
25.1,91.2
25.3,99.7
22.3,96.8
25.0,53.8
22.6,69.0
24.5,78.9
29.9,35.4
24.4,11.3
23.3,25.4
23.4,35.3
22.9,14.1
22.9,20.7
23.4,26.3
24.0,13.6
22.8,5.3
23.3,5.0
22.3,11.6
22.7,4.8
22.7,24.5
23.1,38.2
23.1,22.8
24.0,58.9
24.8,101.8
14.5,104.9
15.0,90.8
16.9,69.1
19.9,66.8
15.9,100.9
16.1,68.1
20.7,16.2
20.6,39.9
16.9,41.9
21.8,19.1
24.0,10.7
27.8,79.5
27.7,37.6
28.7,30.6
25.7,42.4
24.3,26.4
24.2,46.3
25.4,56.9
28.8,84.2
28.6,107.7
26.4,19.9
25.6,27.3
27.0,43.8
29.1,55.1
27.2,131.7
20.9,176.1
18.6,237.2
19.1,136.7
12.6,537.8
13.1,397.8
16.1,56.3
17.7,236.3
23.0,175.0
16.0,242.6
23.0,112.0
26.0,117.0
28.1,40.8
30.0,73.6
24.5,21.7
23.2,5.9
22.9,18.0
21.6,17.9
22.0,7.8
22.0,12.4
21.8,3.6
21.7,7.3
24.7,45.4
22.3,20.8
22.8,6.2
22.0,4.0
21.3,3.6
22.1,5.4
22.1,4.5
22.7,3.9
22.9,9.8
21.7,19.3
22.5,18.5
22.6,15.0
23.5,50.0
24.7,32.5
24.7,74.6
23.4,67.9
23.9,57.5
25.2,59.6
24.9,56.1
23.4,54.1
23.4,52.7
22.3,60.3
25.4,33.2
22.9,7.6
24.8,105.3
23.0,13.8
20.2,47.0
20.4,35.4
20.4,21.0
19.6,80.9
23.1,63.7
23.0,77.6
20.3,51.0
22.2,40.2
22.1,22.9
21.6,31.8
22.0,61.5
28.3,9.5
23.5,13.2
21.0,8.8
20.4,5.7
19.7,9.0
19.4,7.9
21.6,10.1
20.7,5.2
21.3,12.8
20.1,13.5
20.0,2.3
20.1,3.2
20.2,11.2
19.7,6.9
20.4,9.5
20.9,11.8
23.9,17.3
22.2,1.0
21.8,11.8
21.9,63.4
19.0,78.7
19.1,47.2
21.6,22.8
20.6,19.7
21.9,18.6
20.8,4.3
18.5,28.1
18.4,60.8
20.0,13.8
20.0,13.2
18.5,15.8
18.3,19.2
15.3,22.3
16.4,20.3
19.8,12.5
16.3,25.7
14.9,27.2
14.5,23.5
15.5,28.8
17.1,95.8
23.3,79.3
24.9,69.1
22.5,29.5
19.3,55.8
22.5,29.6
26.0,12.3
30.6,9.6
25.0,6.5
24.9,25.2
24.1,6.0
26.7,8.9
27.0,9.8
22.2,25.6
23.1,42.4
24.0,64.3
14.4,254.1
14.0,138.5
14.0,110.2
18.4,30.7
15.6,45.6
17.6,38.3
17.9,110.0
18.4,38.0
18.3,33.5
20.1,42.4
22.2,30.9
26.9,24.8
26.5,24.3
28.7,9.1
27.5,28.1
27.7,32.1
25.5,21.8
25.8,26.5
23.9,15.5
22.8,5.8
23.7,8.0
23.8,9.1
23.2,12.1
25.1,11.8
23.6,26.2
22.3,21.3
22.3,2.9
22.6,9.2
24.6,11.3
23.4,24.7
24.3,35.7
25.4,77.7
27.3,77.9
25.9,45.5
18.7,34.4
19.3,29.3
20.2,42.6
21.7,57.8
21.4,43.9
21.9,86.6
25.0,149.2
22.7,58.8
30.9,60.4
32.3,36.0
28.3,3.5
26.3,2.9
26.1,2.8
26.0,0.9
25.5,1.9
25.2,1.1
25.4,1.0
25.6,1.4
25.5,1.2
25.7,0.5
25.6,0.8
25.6,1.6
25.5,1.5
26.2,1.2
25.2,3.1
25.0,1.3
26.0,1.7
25.1,3.8
25.8,0.9
24.5,1.3
26.1,1.6
25.3,0.7
26.3,15.1
26.7,19.9
25.2,7.9
26.0,1.8
25.6,13.1
25.8,16.6
26.0,15.2
25.3,26.1
25.1,36.3
25.5,62.7
